species,gene,hog
Asteph,ASTEI20_031716,N0.HOG0007805
Asteph,ASTEI20_031912,N0.HOG0005091
Asteph,ASTEI20_031916,N0.HOG0003587
Asteph,ASTEI20_031991,N0.HOG0007584
Asteph,ASTEI20_032013,N0.HOG0007042
Asteph,ASTEI20_032212,N0.HOG0001009
Asteph,ASTEI20_032282,N0.HOG0007927
Asteph,ASTEI20_032284,N0.HOG0005696
Asteph,ASTEI20_032367,N0.HOG0007808
Asteph,ASTEI20_032418,N0.HOG0007340
Asteph,ASTEI20_032465,N0.HOG0007950
Asteph,ASTEI20_032538,N0.HOG0007749
Asteph,ASTEI20_032563,N0.HOG0006649
Asteph,ASTEI20_032621,N0.HOG0006989
Asteph,ASTEI20_032782,N0.HOG0007695
Asteph,ASTEI20_032785,N0.HOG0008754
Asteph,ASTEI20_032875,N0.HOG0006546
Asteph,ASTEI20_032937,N0.HOG0007239
Asteph,ASTEI20_033211,N0.HOG0007953
Asteph,ASTEI20_033219,N0.HOG0008741
Asteph,ASTEI20_033222,N0.HOG0006029
Asteph,ASTEI20_033323,N0.HOG0006028
Asteph,ASTEI20_033598,N0.HOG0006401
Asteph,ASTEI20_033625,N0.HOG0006823
Asteph,ASTEI20_033679,N0.HOG0008954
Asteph,ASTEI20_033886,N0.HOG0006990
Asteph,ASTEI20_033924,N0.HOG0004934
Asteph,ASTEI20_033944,N0.HOG0006244
Asteph,ASTEI20_033975,N0.HOG0007034
Asteph,ASTEI20_034076,N0.HOG0008005
Asteph,ASTEI20_034116,N0.HOG0007992
Asteph,ASTEI20_034117,N0.HOG0007751
Asteph,ASTEI20_034199,N0.HOG0007070
Asteph,ASTEI20_034285,N0.HOG0006391
Asteph,ASTEI20_034300,N0.HOG0000253
Asteph,ASTEI20_034492,N0.HOG0006250
Asteph,ASTEI20_034530,N0.HOG0007563
Asteph,ASTEI20_034621,N0.HOG0007847
Asteph,ASTEI20_034793,N0.HOG0007672
Asteph,ASTEI20_034801,N0.HOG0006530
Asteph,ASTEI20_034880,N0.HOG0004760
Asteph,ASTEI20_034882,N0.HOG0007090
Asteph,ASTEI20_034939,N0.HOG0007001
Asteph,ASTEI20_035004,N0.HOG0005030
Asteph,ASTEI20_035142,N0.HOG0006194
Asteph,ASTEI20_035170,N0.HOG0008307
Asteph,ASTEI20_035434,N0.HOG0006470
Asteph,ASTEI20_035501,N0.HOG0007737
Asteph,ASTEI20_035534,N0.HOG0007246
Asteph,ASTEI20_035644,N0.HOG0008646
Asteph,ASTEI20_035969,N0.HOG0005964
Asteph,ASTEI20_035988,N0.HOG0007433
Asteph,ASTEI20_036060,N0.HOG0006931
Asteph,ASTEI20_036501,N0.HOG0005128
Asteph,ASTEI20_036515,N0.HOG0006212
Asteph,ASTEI20_036625,N0.HOG0007399
Asteph,ASTEI20_036629,N0.HOG0006283
Asteph,ASTEI20_036731,N0.HOG0008082
Asteph,ASTEI20_036844,N0.HOG0007889
Asteph,ASTEI20_036858,N0.HOG0000837
Asteph,ASTEI20_036905,N0.HOG0007336
Asteph,ASTEI20_036940,N0.HOG0006885
Asteph,ASTEI20_036960,N0.HOG0007223
Asteph,ASTEI20_036972,N0.HOG0006498
Asteph,ASTEI20_037198,N0.HOG0008236
Asteph,ASTEI20_037596,N0.HOG0007405
Asteph,ASTEI20_037611,N0.HOG0007639
Asteph,ASTEI20_037713,N0.HOG0007118
Asteph,ASTEI20_037731,N0.HOG0007659
Asteph,ASTEI20_037971,N0.HOG0007402
Asteph,ASTEI20_038001,N0.HOG0007349
Asteph,ASTEI20_038042,N0.HOG0006998
Asteph,ASTEI20_038094,N0.HOG0007443
Asteph,ASTEI20_038124,N0.HOG0006561
Asteph,ASTEI20_038262,N0.HOG0009004
Asteph,ASTEI20_038310,N0.HOG0007692
Asteph,ASTEI20_038322,N0.HOG0007800
Asteph,ASTEI20_038340,N0.HOG0007568
Asteph,ASTEI20_038407,N0.HOG0006537
Asteph,ASTEI20_038437,N0.HOG0004090
Asteph,ASTEI20_038438,N0.HOG0004497
Asteph,ASTEI20_038440,N0.HOG0007347
Asteph,ASTEI20_038571,N0.HOG0006833
Asteph,ASTEI20_038710,N0.HOG0008400
Asteph,ASTEI20_038860,N0.HOG0006191
Asteph,ASTEI20_038986,N0.HOG0007258
Asteph,ASTEI20_039079,N0.HOG0005474
Asteph,ASTEI20_039109,N0.HOG0008920
Asteph,ASTEI20_039281,N0.HOG0006038
Asteph,ASTEI20_039322,N0.HOG0007764
Asteph,ASTEI20_039371,N0.HOG0006858
Asteph,ASTEI20_039587,N0.HOG0007232
Asteph,ASTEI20_039695,N0.HOG0007535
Asteph,ASTEI20_039702,N0.HOG0007339
Asteph,ASTEI20_039760,N0.HOG0007075
Asteph,ASTEI20_040025,N0.HOG0007233
Asteph,ASTEI20_040185,N0.HOG0006531
Asteph,ASTEI20_040285,N0.HOG0006869
Asteph,ASTEI20_040287,N0.HOG0006344
Asteph,ASTEI20_040366,N0.HOG0008913
Asteph,ASTEI20_040821,N0.HOG0006120
Asteph,ASTEI20_040861,N0.HOG0007826
Asteph,ASTEI20_040974,N0.HOG0007551
Asteph,ASTEI20_041172,N0.HOG0006651
Asteph,ASTEI20_041187,N0.HOG0008024
Asteph,ASTEI20_041389,N0.HOG0007256
Asteph,ASTEI20_041510,N0.HOG0006959
Asteph,ASTEI20_041520,N0.HOG0006226
Asteph,ASTEI20_041541,N0.HOG0006976
Asteph,ASTEI20_042128,N0.HOG0007393
Asteph,ASTEI20_042222,N0.HOG0007866
Asteph,ASTEI20_042223,N0.HOG0006093
Asteph,ASTEI20_042419,N0.HOG0007214
Asteph,ASTEI20_042476,N0.HOG0006962
Asteph,ASTEI20_042508,N0.HOG0006233
Asteph,ASTEI20_042591,N0.HOG0007838
Asteph,ASTEI20_042631,N0.HOG0007138
Asteph,ASTEI20_042692,N0.HOG0007357
Asteph,ASTEI20_042804,N0.HOG0006080
Asteph,ASTEI20_042881,N0.HOG0008783
Asteph,ASTEI20_042984,N0.HOG0007113
Asteph,ASTEI20_043130,N0.HOG0001074
Asteph,ASTEI20_043172,N0.HOG0006263
Asteph,ASTEI20_043581,N0.HOG0007916
Asteph,ASTEI20_043602,N0.HOG0006641
Asteph,ASTEI20_043767,N0.HOG0007772
Asteph,ASTEI20_043784,N0.HOG0007689
Asteph,ASTEI20_043919,N0.HOG0007763
Asteph,ASTEI20_043930,N0.HOG0004617
Asteph,ASTEI20_044018,N0.HOG0007100
Asteph,ASTEI20_044063,N0.HOG0007368
Asteph,ASTEI20_044067,N0.HOG0001348
Asteph,ASTEI20_044150,N0.HOG0006613
Asteph,ASTEI20_044201,N0.HOG0008635
Asteph,ASTEI20_044283,N0.HOG0006230
Asteph,ASTEI20_044364,N0.HOG0006910
Asteph,ASTEI20_044694,N0.HOG0005567
Asteph,ASTEI20_044710,N0.HOG0006603
Asteph,ASTEI20_044718,N0.HOG0006647
Asteph,ASTEI20_044756,N0.HOG0006195
Asteph,ASTEI20_044791,N0.HOG0008386
Asteph,ASTEI20_044839,N0.HOG0006917
Asteph,ASTEI20_044913,N0.HOG0002076
Asteph,ASTEI20_045040,N0.HOG0006423
Asteph,ASTEI20_045141,N0.HOG0006387
Asteph,ASTEI20_045165,N0.HOG0006152
Asteph,ASTEI20_045301,N0.HOG0006452
Asteph,ASTEI20_045339,N0.HOG0007869
Asteph,ASTEI20_045453,N0.HOG0007654
Asteph,ASTEI20_045685,N0.HOG0006957
Asteph,ASTEI20_045692,N0.HOG0006553
Asteph,ASTEI20_045745,N0.HOG0006692
Asteph,ASTEI20_045755,N0.HOG0006358
Asteph,ASTEI20_045793,N0.HOG0006930
Asteph,ASTEI20_045892,N0.HOG0007880
Asteph,ASTEI20_045900,N0.HOG0007627
Asteph,ASTEI20_046025,N0.HOG0006968
Asteph,ASTEI20_046040,N0.HOG0007183
Asteph,ASTEI20_046050,N0.HOG0005364
Bantar,Bant000101,N0.HOG0007357
Bantar,Bant000204,N0.HOG0006647
Bantar,Bant000231,N0.HOG0008954
Bantar,Bant000286,N0.HOG0007751
Bantar,Bant000291,N0.HOG0007847
Bantar,Bant000390,N0.HOG0007402
Bantar,Bant000406,N0.HOG0007093
Bantar,Bant000421,N0.HOG0007584
Bantar,Bant000562,N0.HOG0008635
Bantar,Bant000682,N0.HOG0007826
Bantar,Bant000701,N0.HOG0008913
Bantar,Bant000764,N0.HOG0006233
Bantar,Bant000831,N0.HOG0006989
Bantar,Bant000842,N0.HOG0007399
Bantar,Bant000854,N0.HOG0007764
Bantar,Bant000883,N0.HOG0008400
Bantar,Bant000928,N0.HOG0006195
Bantar,Bant001067,N0.HOG0006910
Bantar,Bant001073,N0.HOG0006391
Bantar,Bant001138,N0.HOG0007889
Bantar,Bant001238,N0.HOG0004497
Bantar,Bant001251,N0.HOG0007800
Bantar,Bant001272,N0.HOG0007353
Bantar,Bant001380,N0.HOG0007950
Bantar,Bant001396,N0.HOG0004760
Bantar,Bant001473,N0.HOG0006692
Bantar,Bant001486,N0.HOG0008741
Bantar,Bant001566,N0.HOG0007568
Bantar,Bant001646,N0.HOG0005696
Bantar,Bant001662,N0.HOG0007340
Bantar,Bant001689,N0.HOG0007034
Bantar,Bant001749,N0.HOG0007239
Bantar,Bant001767,N0.HOG0007405
Bantar,Bant001775,N0.HOG0008754
Bantar,Bant001909,N0.HOG0006226
Bantar,Bant002002,N0.HOG0006649
Bantar,Bant002024,N0.HOG0006267
Bantar,Bant002103,N0.HOG0007100
Bantar,Bant002290,N0.HOG0007639
Bantar,Bant002432,N0.HOG0008024
Bantar,Bant002451,N0.HOG0006651
Bantar,Bant002459,N0.HOG0006291
Bantar,Bant002488,N0.HOG0007393
Bantar,Bant002528,N0.HOG0006194
Bantar,Bant002550,N0.HOG0000837
Bantar,Bant002556,N0.HOG0006553
Bantar,Bant002662,N0.HOG0008236
Bantar,Bant002674,N0.HOG0006823
Bantar,Bant002711,N0.HOG0008646
Bantar,Bant002785,N0.HOG0007654
Bantar,Bant002829,N0.HOG0007737
Bantar,Bant002908,N0.HOG0006244
Bantar,Bant002973,N0.HOG0006990
Bantar,Bant003061,N0.HOG0003587
Bantar,Bant003235,N0.HOG0006387
Bantar,Bant003238,N0.HOG0006641
Bantar,Bant003257,N0.HOG0007866
Bantar,Bant003383,N0.HOG0006530
Bantar,Bant003546,N0.HOG0007443
Bantar,Bant003611,N0.HOG0007695
Bantar,Bant003645,N0.HOG0007001
Bantar,Bant003661,N0.HOG0009004
Bantar,Bant003895,N0.HOG0006230
Bantar,Bant003955,N0.HOG0005474
Bantar,Bant003961,N0.HOG0007246
Bantar,Bant004010,N0.HOG0007772
Bantar,Bant004134,N0.HOG0007258
Bantar,Bant004140,N0.HOG0006470
Bantar,Bant004236,N0.HOG0007070
Bantar,Bant004239,N0.HOG0006212
Bantar,Bant004251,N0.HOG0001009
Bantar,Bant004282,N0.HOG0004617
Bantar,Bant004286,N0.HOG0005091
Bantar,Bant004817,N0.HOG0007869
Bantar,Bant004853,N0.HOG0007233
Bantar,Bant004861,N0.HOG0008307
Bantar,Bant004912,N0.HOG0006613
Bantar,Bant004940,N0.HOG0007113
Bantar,Bant005147,N0.HOG0006858
Bantar,Bant005150,N0.HOG0006531
Bantar,Bant005234,N0.HOG0005128
Bantar,Bant005265,N0.HOG0006283
Bantar,Bant005321,N0.HOG0006498
Bantar,Bant005337,N0.HOG0006546
Bantar,Bant005354,N0.HOG0007042
Bantar,Bant005401,N0.HOG0005964
Bantar,Bant005544,N0.HOG0000253
Bantar,Bant005579,N0.HOG0007385
Bantar,Bant005589,N0.HOG0006976
Bantar,Bant005669,N0.HOG0007090
Bantar,Bant005690,N0.HOG0006038
Bantar,Bant005750,N0.HOG0006700
Bantar,Bant005823,N0.HOG0007763
Bantar,Bant005915,N0.HOG0007551
Bantar,Bant005960,N0.HOG0008386
Bantar,Bant005966,N0.HOG0006250
Bantar,Bant006056,N0.HOG0007535
Bantar,Bant006183,N0.HOG0006028
Bantar,Bant006225,N0.HOG0007138
Bantar,Bant006231,N0.HOG0007557
Bantar,Bant006248,N0.HOG0007927
Bantar,Bant006258,N0.HOG0006675
Bantar,Bant006289,N0.HOG0006561
Bantar,Bant006387,N0.HOG0007232
Bantar,Bant006517,N0.HOG0006603
Bantar,Bant006527,N0.HOG0006029
Bantar,Bant006623,N0.HOG0006841
Bantar,Bant006646,N0.HOG0007627
Bantar,Bant006751,N0.HOG0008920
Bantar,Bant006761,N0.HOG0005030
Bantar,Bant006773,N0.HOG0007431
Bantar,Bant006793,N0.HOG0006968
Bantar,Bant006864,N0.HOG0007953
Bantar,Bant006892,N0.HOG0007672
Bantar,Bant006907,N0.HOG0007368
Bantar,Bant006947,N0.HOG0008005
Bantar,Bant007080,N0.HOG0006423
Bantar,Bant007160,N0.HOG0006344
Bantar,Bant007210,N0.HOG0007339
Bantar,Bant007213,N0.HOG0007916
Bantar,Bant007235,N0.HOG0007433
Bantar,Bant007335,N0.HOG0006492
Bantar,Bant007390,N0.HOG0006191
Bantar,Bant007464,N0.HOG0001010
Bantar,Bant007509,N0.HOG0007805
Bantar,Bant007512,N0.HOG0006917
Bantar,Bant007646,N0.HOG0007838
Bantar,Bant007888,N0.HOG0007214
Bantar,Bant007994,N0.HOG0006833
Bantar,Bant008125,N0.HOG0006263
Bantar,Bant008204,N0.HOG0006537
Bantar,Bant008267,N0.HOG0007472
Bantar,Bant008383,N0.HOG0007659
Bantar,Bant008406,N0.HOG0007563
Bantar,Bant008412,N0.HOG0004090
Bantar,Bant008457,N0.HOG0005364
Bantar,Bant008458,N0.HOG0007689
Bantar,Bant008546,N0.HOG0007880
Bantar,Bant008572,N0.HOG0001348
Bantar,Bant008619,N0.HOG0006452
Bantar,Bant008655,N0.HOG0007118
Bantar,Bant008692,N0.HOG0008783
Bantar,Bant008704,N0.HOG0006885
Bantar,Bant008783,N0.HOG0007692
Bantar,Bant008866,N0.HOG0007075
Bantar,Bant008876,N0.HOG0006869
Bantar,Bant008902,N0.HOG0007808
Bantar,Bant008957,N0.HOG0006959
Bantar,Bant008960,N0.HOG0007349
Bantar,Bant008968,N0.HOG0006962
Bantar,Bant008979,N0.HOG0004934
Bantar,Bant009029,N0.HOG0006152
Bantar,Bant009048,N0.HOG0006080
Bantar,Bant009070,N0.HOG0005567
Bantar,Bant009232,N0.HOG0004013
Bantar,Bant009267,N0.HOG0006401
Bantar,Bant009391,N0.HOG0006931
Bantar,Bant009434,N0.HOG0007749
Bantar,Bant009474,N0.HOG0007347
Bantar,Bant009481,N0.HOG0006093
Bantar,Bant009783,N0.HOG0007256
Bantar,Bant009788,N0.HOG0006957
Bantar,Bant009879,N0.HOG0007183
Bantar,Bant009926,N0.HOG0002076
Bantar,Bant010118,N0.HOG0008082
Bantar,Bant010133,N0.HOG0006998
Bantar,Bant010234,N0.HOG0006358
Bantar,Bant010410,N0.HOG0007223
Bantar,Bant010438,N0.HOG0006120
Bantar,Bant010444,N0.HOG0001074
Bantar,Bant010483,N0.HOG0007992
Bantar,Bant010544,N0.HOG0007085
Bantar,Bant010601,N0.HOG0006930
Bantar,Bant010699,N0.HOG0007336
Cquinq,CQUJHB000174,N0.HOG0005128
Cquinq,CQUJHB000520,N0.HOG0007826
Cquinq,CQUJHB000558,N0.HOG0006858
Cquinq,CQUJHB000559,N0.HOG0007950
Cquinq,CQUJHB000627,N0.HOG0007568
Cquinq,CQUJHB000917,N0.HOG0006233
Cquinq,CQUJHB000936,N0.HOG0006869
Cquinq,CQUJHB001025,N0.HOG0006470
Cquinq,CQUJHB001066,N0.HOG0006990
Cquinq,CQUJHB001108,N0.HOG0006358
Cquinq,CQUJHB001178,N0.HOG0007070
Cquinq,CQUJHB001294,N0.HOG0001074
Cquinq,CQUJHB001299,N0.HOG0007433
Cquinq,CQUJHB001406,N0.HOG0007347
Cquinq,CQUJHB001531,N0.HOG0006989
Cquinq,CQUJHB001809,N0.HOG0007551
Cquinq,CQUJHB002064,N0.HOG0007349
Cquinq,CQUJHB002585,N0.HOG0006962
Cquinq,CQUJHB002734,N0.HOG0007654
Cquinq,CQUJHB002853,N0.HOG0006152
Cquinq,CQUJHB002877,N0.HOG0006976
Cquinq,CQUJHB003142,N0.HOG0007764
Cquinq,CQUJHB003272,N0.HOG0008913
Cquinq,CQUJHB003326,N0.HOG0007405
Cquinq,CQUJHB003360,N0.HOG0006959
Cquinq,CQUJHB003521,N0.HOG0007340
Cquinq,CQUJHB003691,N0.HOG0007808
Cquinq,CQUJHB003835,N0.HOG0008783
Cquinq,CQUJHB003885,N0.HOG0005474
Cquinq,CQUJHB003907,N0.HOG0007393
Cquinq,CQUJHB003934,N0.HOG0004617
Cquinq,CQUJHB003955,N0.HOG0007399
Cquinq,CQUJHB004054,N0.HOG0007800
Cquinq,CQUJHB004087,N0.HOG0008005
Cquinq,CQUJHB004167,N0.HOG0007927
Cquinq,CQUJHB004253,N0.HOG0007866
Cquinq,CQUJHB004351,N0.HOG0004934
Cquinq,CQUJHB004498,N0.HOG0006931
Cquinq,CQUJHB004572,N0.HOG0000837
Cquinq,CQUJHB004702,N0.HOG0006641
Cquinq,CQUJHB004789,N0.HOG0006561
Cquinq,CQUJHB005048,N0.HOG0006038
Cquinq,CQUJHB005268,N0.HOG0007100
Cquinq,CQUJHB005379,N0.HOG0006498
Cquinq,CQUJHB005393,N0.HOG0006263
Cquinq,CQUJHB005419,N0.HOG0008307
Cquinq,CQUJHB005438,N0.HOG0006344
Cquinq,CQUJHB005514,N0.HOG0007258
Cquinq,CQUJHB005629,N0.HOG0007368
Cquinq,CQUJHB005703,N0.HOG0008741
Cquinq,CQUJHB005874,N0.HOG0007751
Cquinq,CQUJHB005903,N0.HOG0007214
Cquinq,CQUJHB006011,N0.HOG0001348
Cquinq,CQUJHB006390,N0.HOG0007138
Cquinq,CQUJHB006809,N0.HOG0006191
Cquinq,CQUJHB006899,N0.HOG0007402
Cquinq,CQUJHB006918,N0.HOG0003587
Cquinq,CQUJHB006966,N0.HOG0008646
Cquinq,CQUJHB007070,N0.HOG0006553
Cquinq,CQUJHB007151,N0.HOG0007034
Cquinq,CQUJHB007313,N0.HOG0008754
Cquinq,CQUJHB007358,N0.HOG0007584
Cquinq,CQUJHB007488,N0.HOG0006423
Cquinq,CQUJHB007776,N0.HOG0007772
Cquinq,CQUJHB007821,N0.HOG0007239
Cquinq,CQUJHB007908,N0.HOG0006452
Cquinq,CQUJHB008105,N0.HOG0007093
Cquinq,CQUJHB008175,N0.HOG0006291
Cquinq,CQUJHB008513,N0.HOG0006692
Cquinq,CQUJHB008645,N0.HOG0007627
Cquinq,CQUJHB008668,N0.HOG0007443
Cquinq,CQUJHB008788,N0.HOG0007353
