spp_abbrev,seqid,length
Ctenta,HG428940.1,155220
Ctenta,HG428941.1,222388
Ctenta,HG428942.1,153536
Ctenta,HG428943.1,153113
Ctenta,HG428944.1,153040
Ctenta,HG428945.1,152737
Ctenta,HG428946.1,175234
Ctenta,HG428947.1,228334
Ctenta,HG428948.1,152429
Ctenta,HG428949.1,151576
Ctenta,HG428950.1,150795
Ctenta,HG428951.1,150422
Ctenta,HG428952.1,150349
Ctenta,HG428953.1,149456
Ctenta,HG428954.1,149128
Ctenta,HG428955.1,149111
Ctenta,HG428956.1,148967
Ctenta,HG428957.1,148280
Ctenta,HG428958.1,148268
Ctenta,HG428959.1,147809
Ctenta,HG428960.1,154475
Ctenta,HG428961.1,146464
Ctenta,HG428962.1,146229
Ctenta,HG428963.1,145647
Ctenta,HG428964.1,144780
Ctenta,HG428965.1,143888
Ctenta,HG428966.1,245768
Ctenta,HG428967.1,142808
Ctenta,HG428968.1,144648
Ctenta,HG428969.1,143123
Ctenta,HG428970.1,141851
Ctenta,HG428971.1,153804
Ctenta,HG428972.1,141846
Ctenta,HG428973.1,141491
Ctenta,HG428974.1,140163
Ctenta,HG428975.1,139157
Ctenta,HG428976.1,169540
Ctenta,HG428977.1,139061
Ctenta,HG428978.1,180720
Ctenta,HG428979.1,139179
Ctenta,HG428980.1,142107
Ctenta,HG428981.1,137319
Ctenta,HG428982.1,138172
Ctenta,HG428983.1,136095
Ctenta,HG428984.1,137780
Ctenta,HG428985.1,136711
Ctenta,HG428986.1,135515
Ctenta,HG428987.1,134883
Ctenta,HG428988.1,134858
Ctenta,HG428989.1,134663
Ctenta,HG428990.1,134944
Ctenta,HG428991.1,133726
Ctenta,HG428992.1,133395
Ctenta,HG428993.1,134146
Ctenta,HG428994.1,132584
Ctenta,HG428995.1,131800
Ctenta,HG428996.1,135707
Ctenta,HG428997.1,129473
Ctenta,HG428998.1,130097
Ctenta,HG428999.1,128878
Ctenta,HG429000.1,132947
Ctenta,HG429001.1,126827
Ctenta,HG429002.1,126758
Ctenta,HG429003.1,169410
Ctenta,HG429004.1,126441
Ctenta,HG429005.1,132551
Ctenta,HG429006.1,127947
Ctenta,HG429007.1,124903
Ctenta,HG429008.1,130817
Ctenta,HG429009.1,123697
Ctenta,HG429010.1,123257
Ctenta,HG429011.1,130096
Ctenta,HG429012.1,122895
Ctenta,HG429013.1,122878
Ctenta,HG429014.1,122763
Ctenta,HG429015.1,122672
Ctenta,HG429016.1,122446
Ctenta,HG429017.1,121888
Ctenta,HG429018.1,121876
Ctenta,HG429019.1,121810
Ctenta,HG429020.1,128184
Ctenta,HG429021.1,121452
Ctenta,HG429022.1,120990
Ctenta,HG429023.1,120984
Ctenta,HG429024.1,120943
Ctenta,HG429025.1,121341
Ctenta,HG429026.1,120357
Ctenta,HG429027.1,120331
Ctenta,HG429028.1,120247
Ctenta,HG429029.1,120211
Ctenta,HG429030.1,120037
Ctenta,HG429031.1,120500
Ctenta,HG429032.1,119744
Ctenta,HG429033.1,120107
Ctenta,HG429034.1,119414
Ctenta,HG429035.1,118821
Ctenta,HG429036.1,121606
Ctenta,HG429037.1,194745
Ctenta,HG429038.1,118625
Ctenta,HG429039.1,118605
Ctenta,HG429040.1,163953
Ctenta,HG429041.1,117936
Ctenta,HG429042.1,139555
Ctenta,HG429043.1,118431
Ctenta,HG429044.1,118334
Ctenta,HG429045.1,116641
Ctenta,HG429046.1,116610
Ctenta,HG429047.1,133317
Ctenta,HG429048.1,116008
Ctenta,HG429049.1,115540
Ctenta,HG429050.1,115056
Ctenta,HG429051.1,199336
Ctenta,HG429052.1,114943
Ctenta,HG429053.1,119468
Ctenta,HG429054.1,114605
Ctenta,HG429055.1,114590
Ctenta,HG429056.1,114547
Ctenta,HG429057.1,114421
Ctenta,HG429058.1,114246
Ctenta,HG429059.1,126626
Ctenta,HG429060.1,113092
Ctenta,HG429061.1,112970
Ctenta,HG429062.1,140500
Ctenta,HG429063.1,112621
Ctenta,HG429064.1,112171
Ctenta,HG429065.1,124464
Ctenta,HG429066.1,111900
Ctenta,HG429067.1,111822
Ctenta,HG429068.1,114412
Ctenta,HG429069.1,111572
Ctenta,HG429070.1,111553
Ctenta,HG429071.1,111542
Ctenta,HG429072.1,118084
Ctenta,HG429073.1,111333
Ctenta,HG429074.1,117294
Ctenta,HG429075.1,111375
Ctenta,HG429076.1,110630
Ctenta,HG429077.1,216637
Ctenta,HG429078.1,110183
Ctenta,HG429079.1,109760
Ctenta,HG429080.1,109655
Ctenta,HG429081.1,152983
Ctenta,HG429082.1,110047
Ctenta,HG429083.1,109207
Ctenta,HG429084.1,109436
Ctenta,HG429085.1,107651
Ctenta,HG429086.1,107400
Ctenta,HG429087.1,180401
Ctenta,HG429088.1,117229
Ctenta,HG429089.1,107455
Ctenta,HG429090.1,107571
Ctenta,HG429091.1,202751
Ctenta,HG429092.1,108987
Ctenta,HG429093.1,105556
Ctenta,HG429094.1,106217
Ctenta,HG429095.1,105547
Ctenta,HG429096.1,105081
Ctenta,HG429097.1,105037
Ctenta,HG429098.1,105787
Ctenta,HG429099.1,104425
Ctenta,HG429100.1,104364
Ctenta,HG429101.1,104201
Ctenta,HG429102.1,104010
Ctenta,HG429103.1,103969
Ctenta,HG429104.1,103554
Ctenta,HG429105.1,109813
Ctenta,HG429106.1,103349
Ctenta,HG429107.1,103200
Ctenta,HG429108.1,102971
Ctenta,HG429109.1,102738
Ctenta,HG429110.1,103142
Ctenta,HG429111.1,104132
Ctenta,HG429112.1,157450
Ctenta,HG429113.1,102035
Ctenta,HG429114.1,101246
Ctenta,HG429115.1,113428
Ctenta,HG429116.1,100713
Ctenta,HG429117.1,100872
Ctenta,HG429118.1,137410
Ctenta,HG429119.1,99961
Ctenta,HG429120.1,99865
Ctenta,HG429121.1,99783
Ctenta,HG429122.1,99762
Ctenta,HG429123.1,99880
Ctenta,HG429124.1,98761
Ctenta,HG429125.1,98673
Ctenta,HG429126.1,100857
Ctenta,HG429127.1,97346
Ctenta,HG429128.1,97281
Ctenta,HG429129.1,140607
Ctenta,HG429130.1,96889
Ctenta,HG429131.1,105275
Ctenta,HG429132.1,97150
Ctenta,HG429133.1,100635
Ctenta,HG429134.1,96354
Ctenta,HG429135.1,96169
Ctenta,HG429136.1,96047
Ctenta,HG429137.1,96257
Ctenta,HG429138.1,128510
Ctenta,HG429139.1,95545
Ctenta,HG429140.1,95380
Ctenta,HG429141.1,98343
Ctenta,HG429142.1,95281
Ctenta,HG429143.1,94765
Ctenta,HG429144.1,94424
Ctenta,HG429145.1,94898
Ctenta,HG429146.1,94409
Ctenta,HG429147.1,94587
Ctenta,HG429148.1,94186
Ctenta,HG429149.1,101480
Ctenta,HG429150.1,93682
Ctenta,HG429151.1,93680
Ctenta,HG429152.1,93654
Ctenta,HG429153.1,93583
Ctenta,HG429154.1,93560
Ctenta,HG429155.1,130874
Ctenta,HG429156.1,93379
Ctenta,HG429157.1,93378
Ctenta,HG429158.1,93362
Ctenta,HG429159.1,93006
Ctenta,HG429160.1,112349
Ctenta,HG429161.1,92792
Ctenta,HG429162.1,104408
Ctenta,HG429163.1,165530
Ctenta,HG429164.1,99828
Ctenta,HG429165.1,186253
Ctenta,HG429166.1,94926
Ctenta,HG429167.1,92207
Ctenta,HG429168.1,92133
Ctenta,HG429169.1,92068
Ctenta,HG429170.1,91853
Ctenta,HG429171.1,91690
Ctenta,HG429172.1,91144
Ctenta,HG429173.1,90959
Ctenta,HG429174.1,91483
Ctenta,HG429175.1,91853
Ctenta,HG429176.1,97194
Ctenta,HG429177.1,90508
Ctenta,HG429178.1,90424
Ctenta,HG429179.1,90264
Ctenta,HG429180.1,89935
Ctenta,HG429181.1,89848
Ctenta,HG429182.1,89604
Ctenta,HG429183.1,89591
Ctenta,HG429184.1,90668
Ctenta,HG429185.1,89200
Ctenta,HG429186.1,89537
Ctenta,HG429187.1,88656
Ctenta,HG429188.1,89852
Ctenta,HG429189.1,88455
Ctenta,HG429190.1,87695
Ctenta,HG429191.1,133490
Ctenta,HG429192.1,87576
Ctenta,HG429193.1,87274
Ctenta,HG429194.1,87266
Ctenta,HG429195.1,87205
Ctenta,HG429196.1,87200
Ctenta,HG429197.1,87166
Ctenta,HG429198.1,106060
Ctenta,HG429199.1,93743
Ctenta,HG429200.1,86930
Ctenta,HG429201.1,86878
Ctenta,HG429202.1,86859
Ctenta,HG429203.1,86781
Ctenta,HG429204.1,86666
Ctenta,HG429205.1,89231
Ctenta,HG429206.1,86436
Ctenta,HG429207.1,86416
Ctenta,HG429208.1,86391
Ctenta,HG429209.1,88356
Ctenta,HG429210.1,86192
Ctenta,HG429211.1,152635
Ctenta,HG429212.1,85902
Ctenta,HG429213.1,85855
Ctenta,HG429214.1,85720
Ctenta,HG429215.1,93389
Ctenta,HG429216.1,85575
Ctenta,HG429217.1,110000
Ctenta,HG429218.1,85477
Ctenta,HG429219.1,85476
Ctenta,HG429220.1,85941
Ctenta,HG429221.1,85223
Ctenta,HG429222.1,85137
Ctenta,HG429223.1,85090
Ctenta,HG429224.1,85619
Ctenta,HG429225.1,84938
Ctenta,HG429226.1,85802
Ctenta,HG429227.1,88376
Ctenta,HG429228.1,84634
Ctenta,HG429229.1,84544
Ctenta,HG429230.1,85055
Ctenta,HG429231.1,84098
Ctenta,HG429232.1,84087
Ctenta,HG429233.1,84635
Ctenta,HG429234.1,90192
Ctenta,HG429235.1,83723
Ctenta,HG429236.1,173615
Ctenta,HG429237.1,83668
Ctenta,HG429238.1,83308
Ctenta,HG429239.1,83113
Ctenta,HG429240.1,83050
Ctenta,HG429241.1,83729
Ctenta,HG429242.1,82888
Ctenta,HG429243.1,82756
Ctenta,HG429244.1,82418
Ctenta,HG429245.1,82291
Ctenta,HG429246.1,82287
Ctenta,HG429247.1,81473
Ctenta,HG429248.1,87836
Ctenta,HG429249.1,81279
Ctenta,HG429250.1,81219
Ctenta,HG429251.1,81218
Ctenta,HG429252.1,153818
Ctenta,HG429253.1,80970
Ctenta,HG429254.1,81409
Ctenta,HG429255.1,81174
Ctenta,HG429256.1,80817
Ctenta,HG429257.1,80303
Ctenta,HG429258.1,80209
Ctenta,HG429259.1,79992
Ctenta,HG429260.1,79991
Ctenta,HG429261.1,80407
Ctenta,HG429262.1,79919
Ctenta,HG429263.1,86235
Ctenta,HG429264.1,79774
Ctenta,HG429265.1,122194
Ctenta,HG429266.1,79702
Ctenta,HG429267.1,92956
Ctenta,HG429268.1,80141
Ctenta,HG429269.1,79444
Ctenta,HG429270.1,79393
Ctenta,HG429271.1,79149
Ctenta,HG429272.1,79294
Ctenta,HG429273.1,78462
Ctenta,HG429274.1,85409
Ctenta,HG429275.1,79306
Ctenta,HG429276.1,77817
Ctenta,HG429277.1,77602
Ctenta,HG429278.1,102704
Ctenta,HG429279.1,77501
Ctenta,HG429280.1,77226
Ctenta,HG429281.1,83941
Ctenta,HG429282.1,77030
Ctenta,HG429283.1,76832
Ctenta,HG429284.1,76777
Ctenta,HG429285.1,77179
Ctenta,HG429286.1,128918
Ctenta,HG429287.1,108457
Ctenta,HG429288.1,76561
Ctenta,HG429289.1,76447
Ctenta,HG429290.1,90483
Ctenta,HG429291.1,76304
Ctenta,HG429292.1,80895
Ctenta,HG429293.1,75673
Ctenta,HG429294.1,98744
Ctenta,HG429295.1,75497
Ctenta,HG429296.1,75462
Ctenta,HG429297.1,76689
Ctenta,HG429298.1,75252
Ctenta,HG429299.1,77579
Ctenta,HG429300.1,74951
Ctenta,HG429301.1,112600
Ctenta,HG429302.1,75640
Ctenta,HG429303.1,148843
Ctenta,HG429304.1,74430
Ctenta,HG429305.1,74847
Ctenta,HG429306.1,96136
Ctenta,HG429307.1,74180
Ctenta,HG429308.1,74108
Ctenta,HG429309.1,74572
Ctenta,HG429310.1,73876
Ctenta,HG429311.1,73874
Ctenta,HG429312.1,73860
Ctenta,HG429313.1,102628
Ctenta,HG429314.1,107663
Ctenta,HG429315.1,73496
Ctenta,HG429316.1,112235
Ctenta,HG429317.1,74778
Ctenta,HG429318.1,81680
Ctenta,HG429319.1,75508
Ctenta,HG429320.1,72740
Ctenta,HG429321.1,72542
Ctenta,HG429322.1,103588
Ctenta,HG429323.1,72078
Ctenta,HG429324.1,71989
Ctenta,HG429325.1,72441
Ctenta,HG429326.1,71753
Ctenta,HG429327.1,72152
Ctenta,HG429328.1,71502
Ctenta,HG429329.1,71491
Ctenta,HG429330.1,77956
Ctenta,HG429331.1,73506
Ctenta,HG429332.1,71118
Ctenta,HG429333.1,89073
Ctenta,HG429334.1,70962
Ctenta,HG429335.1,70830
Ctenta,HG429336.1,70728
Ctenta,HG429337.1,70950
Ctenta,HG429338.1,93760
Ctenta,HG429339.1,70443
Ctenta,HG429340.1,70424
Ctenta,HG429341.1,70930
Ctenta,HG429342.1,70831
Ctenta,HG429343.1,71350
Ctenta,HG429344.1,71354
Ctenta,HG429345.1,69858
Ctenta,HG429346.1,69833
Ctenta,HG429347.1,72433
Ctenta,HG429348.1,69982
Ctenta,HG429349.1,69540
Ctenta,HG429350.1,69514
Ctenta,HG429351.1,70008
Ctenta,HG429352.1,69433
Ctenta,HG429353.1,70931
Ctenta,HG429354.1,69335
Ctenta,HG429355.1,68985
Ctenta,HG429356.1,68954
Ctenta,HG429357.1,76513
Ctenta,HG429358.1,68844
Ctenta,HG429359.1,68781
Ctenta,HG429360.1,68719
Ctenta,HG429361.1,68702
Ctenta,HG429362.1,69056
Ctenta,HG429363.1,68585
Ctenta,HG429364.1,68115
Ctenta,HG429365.1,68055
Ctenta,HG429366.1,208482
Ctenta,HG429367.1,67959
Ctenta,HG429368.1,67957
Ctenta,HG429369.1,68486
Ctenta,HG429370.1,67831
Ctenta,HG429371.1,67713
Ctenta,HG429372.1,67546
Ctenta,HG429373.1,67516
Ctenta,HG429374.1,67451
Ctenta,HG429375.1,67363
Ctenta,HG429376.1,88143
Ctenta,HG429377.1,67217
Ctenta,HG429378.1,67105
Ctenta,HG429379.1,66954
Ctenta,HG429380.1,69507
Ctenta,HG429381.1,66682
Ctenta,HG429382.1,66581
Ctenta,HG429383.1,66569
Ctenta,HG429384.1,66551
Ctenta,HG429385.1,66530
Ctenta,HG429386.1,70369
Ctenta,HG429387.1,66333
Ctenta,HG429388.1,66206
Ctenta,HG429389.1,66082
Ctenta,HG429390.1,72363
Ctenta,HG429391.1,65985
Ctenta,HG429392.1,65965
Ctenta,HG429393.1,65956
Ctenta,HG429394.1,66512
Ctenta,HG429395.1,66314
Ctenta,HG429396.1,65825
Ctenta,HG429397.1,65625
Ctenta,HG429398.1,65344
Ctenta,HG429399.1,65212
Ctenta,HG429400.1,65181
Ctenta,HG429401.1,65072
Ctenta,HG429402.1,77370
Ctenta,HG429403.1,64932
Ctenta,HG429404.1,68576
Ctenta,HG429405.1,65263
Ctenta,HG429406.1,70997
Ctenta,HG429407.1,65453
Ctenta,HG429408.1,64180
Ctenta,HG429409.1,122562
Ctenta,HG429410.1,64076
Ctenta,HG429411.1,63997
Ctenta,HG429412.1,64918
Ctenta,HG429413.1,63987
Ctenta,HG429414.1,71330
Ctenta,HG429415.1,63791
Ctenta,HG429416.1,63746
Ctenta,HG429417.1,63677
Ctenta,HG429418.1,63662
Ctenta,HG429419.1,70184
Ctenta,HG429420.1,63643
Ctenta,HG429421.1,123253
Ctenta,HG429422.1,63091
Ctenta,HG429423.1,62973
Ctenta,HG429424.1,63279
Ctenta,HG429425.1,92017
Ctenta,HG429426.1,62584
Ctenta,HG429427.1,68413
Ctenta,HG429428.1,83071
Ctenta,HG429429.1,96996
Ctenta,HG429430.1,62051
Ctenta,HG429431.1,62033
Ctenta,HG429432.1,62013
Ctenta,HG429433.1,63928
Ctenta,HG429434.1,61870
Ctenta,HG429435.1,61855
Ctenta,HG429436.1,64531
Ctenta,HG429437.1,61646
Ctenta,HG429438.1,61641
Ctenta,HG429439.1,65391
Ctenta,HG429440.1,61413
Ctenta,HG429441.1,62888
Ctenta,HG429442.1,61332
Ctenta,HG429443.1,61282
Ctenta,HG429444.1,61230
Ctenta,HG429445.1,61165
Ctenta,HG429446.1,61152
Ctenta,HG429447.1,61904
Ctenta,HG429448.1,61123
Ctenta,HG429449.1,61993
Ctenta,HG429450.1,60984
Ctenta,HG429451.1,60902
Ctenta,HG429452.1,60888
Ctenta,HG429453.1,60863
Ctenta,HG429454.1,60620
Ctenta,HG429455.1,60609
Ctenta,HG429456.1,69962
Ctenta,HG429457.1,65491
Ctenta,HG429458.1,84655
Ctenta,HG429459.1,60364
Ctenta,HG429460.1,60311
Ctenta,HG429461.1,60191
Ctenta,HG429462.1,60142
Ctenta,HG429463.1,60051
Ctenta,HG429464.1,106615
Ctenta,HG429465.1,66311
Ctenta,HG429466.1,59935
Ctenta,HG429467.1,60460
Ctenta,HG429468.1,59928
Ctenta,HG429469.1,98879
Ctenta,HG429470.1,60129
Ctenta,HG429471.1,59624
Ctenta,HG429472.1,109991
Ctenta,HG429473.1,59457
Ctenta,HG429474.1,66039
Ctenta,HG429475.1,60630
Ctenta,HG429476.1,59226
Ctenta,HG429477.1,59161
Ctenta,HG429478.1,59138
Ctenta,HG429479.1,59086
Ctenta,HG429480.1,143643
Ctenta,HG429481.1,65321
Ctenta,HG429482.1,58868
Ctenta,HG429483.1,59758
Ctenta,HG429484.1,58845
Ctenta,HG429485.1,58828
Ctenta,HG429486.1,58737
Ctenta,HG429487.1,58642
Ctenta,HG429488.1,58618
Ctenta,HG429489.1,62119
Ctenta,HG429490.1,60972
Ctenta,HG429491.1,75277
Ctenta,HG429492.1,58436
Ctenta,HG429493.1,58421
Ctenta,HG429494.1,64967
Ctenta,HG429495.1,65033
Ctenta,HG429496.1,58324
Ctenta,HG429497.1,58293
Ctenta,HG429498.1,123244
Ctenta,HG429499.1,58197
Ctenta,HG429500.1,66602
Ctenta,HG429501.1,60215
Ctenta,HG429502.1,58101
Ctenta,HG429503.1,58051
Ctenta,HG429504.1,58012
Ctenta,HG429505.1,79740
Ctenta,HG429506.1,57390
Ctenta,HG429507.1,63029
Ctenta,HG429508.1,63989
Ctenta,HG429509.1,58086
Ctenta,HG429510.1,57274
Ctenta,HG429511.1,61426
Ctenta,HG429512.1,63702
Ctenta,HG429513.1,94153
Ctenta,HG429514.1,57181
Ctenta,HG429515.1,57779
Ctenta,HG429516.1,57146
Ctenta,HG429517.1,58765
Ctenta,HG429518.1,56748
Ctenta,HG429519.1,56740
Ctenta,HG429520.1,56589
Ctenta,HG429521.1,82462
Ctenta,HG429522.1,56361
Ctenta,HG429523.1,56211
Ctenta,HG429524.1,56675
Ctenta,HG429525.1,56740
Ctenta,HG429526.1,56148
Ctenta,HG429527.1,56120
Ctenta,HG429528.1,55973
Ctenta,HG429529.1,58087
Ctenta,HG429530.1,55371
Ctenta,HG429531.1,55330
Ctenta,HG429532.1,95859
Ctenta,HG429533.1,55310
Ctenta,HG429534.1,55305
Ctenta,HG429535.1,55298
Ctenta,HG429536.1,56904
Ctenta,HG429537.1,55218
Ctenta,HG429538.1,73305
Ctenta,HG429539.1,55189
Ctenta,HG429540.1,55090
Ctenta,HG429541.1,55976
Ctenta,HG429542.1,55062
Ctenta,HG429543.1,55035
Ctenta,HG429544.1,55915
Ctenta,HG429545.1,61978
Ctenta,HG429546.1,54866
Ctenta,HG429547.1,54851
Ctenta,HG429548.1,54747
Ctenta,HG429549.1,55727
Ctenta,HG429550.1,62886
Ctenta,HG429551.1,54519
Ctenta,HG429552.1,89914
Ctenta,HG429553.1,54393
Ctenta,HG429554.1,54266
Ctenta,HG429555.1,54261
Ctenta,HG429556.1,54783
Ctenta,HG429557.1,54186
Ctenta,HG429558.1,54687
Ctenta,HG429559.1,57164
Ctenta,HG429560.1,53979
Ctenta,HG429561.1,64543
Ctenta,HG429562.1,53878
Ctenta,HG429563.1,53865
Ctenta,HG429564.1,55951
Ctenta,HG429565.1,53724
Ctenta,HG429566.1,53720
Ctenta,HG429567.1,54492
Ctenta,HG429568.1,53694
Ctenta,HG429569.1,53613
Ctenta,HG429570.1,54321
Ctenta,HG429571.1,53993
Ctenta,HG429572.1,53915
Ctenta,HG429573.1,53290
Ctenta,HG429574.1,53159
Ctenta,HG429575.1,66062
Ctenta,HG429576.1,52569
Ctenta,HG429577.1,52432
Ctenta,HG429578.1,52409
Ctenta,HG429579.1,52396
Ctenta,HG429580.1,128552
Ctenta,HG429581.1,55387
Ctenta,HG429582.1,52192
Ctenta,HG429583.1,52189
Ctenta,HG429584.1,77817
Ctenta,HG429585.1,65722
Ctenta,HG429586.1,52074
Ctenta,HG429587.1,52063
Ctenta,HG429588.1,53492
Ctenta,HG429589.1,58508
Ctenta,HG429590.1,51919
Ctenta,HG429591.1,51816
Ctenta,HG429592.1,52830
Ctenta,HG429593.1,51720
Ctenta,HG429594.1,51623
Ctenta,HG429595.1,66909
Ctenta,HG429596.1,52210
Ctenta,HG429597.1,57113
Ctenta,HG429598.1,51464
Ctenta,HG429599.1,51433
Ctenta,HG429600.1,88895
Ctenta,HG429601.1,51181
Ctenta,HG429602.1,51154
Ctenta,HG429603.1,51578
Ctenta,HG429604.1,51053
Ctenta,HG429605.1,51005
Ctenta,HG429606.1,50906
Ctenta,HG429607.1,50882
Ctenta,HG429608.1,57593
Ctenta,HG429609.1,50814
Ctenta,HG429610.1,52598
Ctenta,HG429611.1,51682
Ctenta,HG429612.1,50720
Ctenta,HG429613.1,50713
Ctenta,HG429614.1,50529
Ctenta,HG429615.1,51028
Ctenta,HG429616.1,50959
Ctenta,HG429617.1,50252
Ctenta,HG429618.1,50221
Ctenta,HG429619.1,50120
Ctenta,HG429620.1,50659
Ctenta,HG429621.1,50001
Ctenta,HG429622.1,56440
Ctenta,HG429623.1,50609
Ctenta,HG429624.1,49893
Ctenta,HG429625.1,49846
Ctenta,HG429626.1,56353
Ctenta,HG429627.1,49805
Ctenta,HG429628.1,49754
Ctenta,HG429629.1,57980
Ctenta,HG429630.1,49718
Ctenta,HG429631.1,49698
Ctenta,HG429632.1,51460
Ctenta,HG429633.1,50285
Ctenta,HG429634.1,49567
Ctenta,HG429635.1,50225
Ctenta,HG429636.1,49531
Ctenta,HG429637.1,50017
